,card_played,hand_result,player,trump_card,card_led,player_bid,player_tricks_taken,player_hand,total_bids,total_tricks_taken,all_cards_played,hand_number,cards_played_trick
28,JC,,Jack,9H,"('Tim', '4C')",3,1,"['0H', '2H', 'AC', '4H']",12,5,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC')]}",10,"[('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC')]"
29,6C,1,Kelly,9H,"('Tim', '4C')",3,1,"['KH', '6H', '5C', 'KC']",12,5,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C')]}",10,"[('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C')]"
30,4H,,Jack,9H,"('Jack', '4H')",3,2,"['0H', '2H', 'AC']",12,6,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H')]}",10,"[('Jack', '4H')]"
31,KH,1,Kelly,9H,"('Jack', '4H')",3,1,"['6H', '5C', 'KC']",12,6,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH')]}",10,"[('Jack', '4H'), ('Kelly', 'KH')]"
32,7H,,Tim,9H,"('Jack', '4H')",3,1,"['3H', 'QC', '9C']",12,6,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H')]}",10,"[('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H')]"
33,QH,1,Mom,9H,"('Jack', '4H')",1,1,"['0D', 'KS', '5D']",12,6,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH')]}",10,"[('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH')]"
34,8H,,Dad,9H,"('Jack', '4H')",2,1,"['5H', '6D', '8C']",12,6,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH'), ('Dad', '8H')]}",10,"[('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH'), ('Dad', '8H')]"
35,KC,1,Kelly,9H,"('Kelly', 'KC')",3,2,"['6H', '5C']",12,7,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH'), ('Dad', '8H'), ('Kelly', 'KC')]}",10,"[('Kelly', 'KC')]"
36,QC,,Tim,9H,"('Kelly', 'KC')",3,1,"['3H', '9C']",12,7,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH'), ('Dad', '8H'), ('Kelly', 'KC'), ('Tim', 'QC')]}",10,"[('Kelly', 'KC'), ('Tim', 'QC')]"
37,5D,1,Mom,9H,"('Kelly', 'KC')",1,1,"['0D', 'KS']",12,7,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS'), ('Mom', '8D'), ('Dad', '4D'), ('Jack', 'AD'), ('Kelly', 'QD'), ('Tim', '7D'), ('Jack', '0S'), ('Kelly', 'AH'), ('Tim', 'JD'), ('Mom', '3S'), ('Dad', '7C'), ('Kelly', 'KD'), ('Tim', 'JH'), ('Mom', '2D'), ('Dad', '9D'), ('Jack', '3D'), ('Tim', '4C'), ('Mom', '0C'), ('Dad', '3C'), ('Jack', 'JC'), ('Kelly', '6C'), ('Jack', '4H'), ('Kelly', 'KH'), ('Tim', '7H'), ('Mom', 'QH'), ('Dad', '8H'), ('Kelly', 'KC'), ('Tim', 'QC'), ('Mom', '5D')]}",10,"[('Kelly', 'KC'), ('Tim', 'QC'), ('Mom', '5D')]"
